"age","workclass","education_num","occupation","capital_gain","capital_loss","hours_per_week","sex","group","race","relationship","marital_status","native_country","income","y","source_file","row_id"
34,"Private",4,"Transport-moving",0,0,45,"Male","Male","Amer-Indian-Eskimo","Husband","Married-civ-spouse","Mexico","<=50K",0,"adult.data",16
25,"Self-emp-not-inc",9,"Farming-fishing",0,0,35,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",17
32,"Private",9,"Machine-op-inspct",0,0,40,"Male","Male","White","Unmarried","Never-married","United-States","<=50K",0,"adult.data",18
38,"Private",7,"Sales",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",19
43,"Self-emp-not-inc",14,"Exec-managerial",0,0,45,"Female","Female","White","Unmarried","Divorced","United-States",">50K",1,"adult.data",20
40,"Private",16,"Prof-specialty",0,0,60,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",21
54,"Private",9,"Other-service",0,0,20,"Female","Female","Black","Unmarried","Separated","United-States","<=50K",0,"adult.data",22
35,"Federal-gov",5,"Farming-fishing",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",23
43,"Private",7,"Transport-moving",0,2042,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",24
59,"Private",9,"Tech-support",0,0,40,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",25
56,"Local-gov",13,"Tech-support",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",26
19,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",27
39,"Private",9,"Exec-managerial",0,0,80,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",28
49,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",29
23,"Local-gov",12,"Protective-serv",0,0,52,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",30
20,"Private",10,"Sales",0,0,44,"Male","Male","Black","Own-child","Never-married","United-States","<=50K",0,"adult.data",31
45,"Private",13,"Exec-managerial",0,1408,40,"Male","Male","White","Own-child","Divorced","United-States","<=50K",0,"adult.data",32
30,"Federal-gov",10,"Adm-clerical",0,0,40,"Male","Male","White","Own-child","Married-civ-spouse","United-States","<=50K",0,"adult.data",33
22,"State-gov",10,"Other-service",0,0,15,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",34
48,"Private",7,"Machine-op-inspct",0,0,40,"Male","Male","White","Unmarried","Never-married","Puerto-Rico","<=50K",0,"adult.data",35
21,"Private",10,"Machine-op-inspct",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",36
19,"Private",9,"Adm-clerical",0,0,25,"Female","Female","White","Wife","Married-AF-spouse","United-States","<=50K",0,"adult.data",37
31,"Private",10,"Sales",0,0,38,"Male","Male","White","Husband","Married-civ-spouse","Missing",">50K",1,"adult.data",38
48,"Self-emp-not-inc",12,"Prof-specialty",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",39
31,"Private",5,"Machine-op-inspct",0,0,43,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",40
53,"Self-emp-not-inc",13,"Prof-specialty",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",41
24,"Private",13,"Tech-support",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",42
49,"Private",9,"Adm-clerical",0,0,40,"Female","Female","White","Unmarried","Separated","United-States","<=50K",0,"adult.data",43
25,"Private",9,"Handlers-cleaners",0,0,35,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",44
57,"Federal-gov",13,"Prof-specialty",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",45
53,"Private",9,"Machine-op-inspct",0,0,38,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",46
44,"Private",14,"Exec-managerial",0,0,40,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",47
41,"State-gov",11,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",48
29,"Private",11,"Prof-specialty",0,0,43,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",49
25,"Private",10,"Exec-managerial",0,0,40,"Female","Female","Other","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",50
18,"Private",9,"Other-service",0,0,30,"Female","Female","White","Own-child","Never-married","Missing","<=50K",0,"adult.data",51
47,"Private",15,"Prof-specialty",0,1902,60,"Female","Female","White","Wife","Married-civ-spouse","Honduras",">50K",1,"adult.data",52
50,"Federal-gov",13,"Exec-managerial",0,0,55,"Male","Male","White","Not-in-family","Divorced","United-States",">50K",1,"adult.data",53
47,"Self-emp-inc",9,"Exec-managerial",0,0,60,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",54
43,"Private",10,"Tech-support",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",55
46,"Private",3,"Machine-op-inspct",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","Mexico","<=50K",0,"adult.data",56
35,"Private",11,"Other-service",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","Puerto-Rico","<=50K",0,"adult.data",57
41,"Private",9,"Adm-clerical",0,0,48,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",58
30,"Private",9,"Machine-op-inspct",5013,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",59
30,"Private",13,"Sales",2407,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",60
48,"Private",9,"Transport-moving",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",61
42,"Private",16,"Prof-specialty",0,0,45,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",62
29,"Private",10,"Tech-support",0,0,58,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",63
36,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",64
28,"Private",10,"Adm-clerical",0,0,40,"Female","Female","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",65
53,"Private",9,"Adm-clerical",0,0,40,"Female","Female","White","Wife","Married-civ-spouse","United-States",">50K",1,"adult.data",66
49,"Self-emp-inc",10,"Exec-managerial",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",67
19,"Private",10,"Prof-specialty",0,0,32,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",68
31,"Private",13,"Sales",0,0,40,"Female","Female","Black","Own-child","Separated","United-States","<=50K",0,"adult.data",69
29,"Self-emp-not-inc",13,"Sales",0,0,70,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",70
23,"Private",10,"Machine-op-inspct",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",71
79,"Private",10,"Prof-specialty",0,0,20,"Male","Male","White","Other-relative","Married-civ-spouse","United-States","<=50K",0,"adult.data",72
27,"Private",9,"Other-service",0,0,40,"Male","Male","White","Own-child","Never-married","Mexico","<=50K",0,"adult.data",73
40,"Private",12,"Adm-clerical",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",74
18,"Private",7,"Other-service",0,0,22,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",75
31,"Local-gov",4,"Farming-fishing",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",76
18,"Private",9,"Sales",0,0,30,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",77
52,"Private",13,"Other-service",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","Cuba","<=50K",0,"adult.data",78
46,"Private",9,"Other-service",0,0,40,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",79
59,"Private",9,"Sales",0,0,48,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",80
44,"Private",9,"Craft-repair",14344,0,40,"Female","Female","White","Not-in-family","Divorced","United-States",">50K",1,"adult.data",81
53,"Private",9,"Sales",0,0,35,"Female","Female","White","Own-child","Divorced","United-States","<=50K",0,"adult.data",82
49,"Local-gov",9,"Protective-serv",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",83
33,"Private",14,"Prof-specialty",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",84
30,"Private",5,"Sales",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",85
43,"Federal-gov",16,"Prof-specialty",0,0,50,"Female","Female","White","Not-in-family","Never-married","United-States",">50K",1,"adult.data",86
57,"Private",11,"Prof-specialty",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",87
37,"Private",10,"Craft-repair",0,0,40,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",88
28,"Private",10,"Machine-op-inspct",0,0,25,"Female","Female","Black","Unmarried","Divorced","United-States","<=50K",0,"adult.data",89
30,"Private",9,"Sales",0,1573,35,"Female","Female","Asian-Pac-Islander","Wife","Married-civ-spouse","Missing","<=50K",0,"adult.data",90
34,"Local-gov",13,"Protective-serv",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",91
29,"Local-gov",10,"Handlers-cleaners",0,0,50,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",92
48,"Self-emp-not-inc",16,"Prof-specialty",0,1902,60,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",93
37,"Private",10,"Sales",0,0,48,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",94
48,"Private",12,"Exec-managerial",0,0,40,"Female","Female","White","Unmarried","Divorced","England","<=50K",0,"adult.data",95
32,"Federal-gov",9,"Other-service",0,0,40,"Male","Male","Black","Own-child","Never-married","United-States","<=50K",0,"adult.data",96
76,"Private",14,"Exec-managerial",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",97
44,"Private",13,"Exec-managerial",15024,0,60,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",98
47,"Self-emp-not-inc",14,"Prof-specialty",0,0,50,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",99
20,"Private",10,"Tech-support",0,0,40,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",100
29,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",101
32,"Self-emp-inc",9,"Craft-repair",7688,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",102
30,"Private",7,"Handlers-cleaners",0,0,40,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",103
31,"Local-gov",9,"Adm-clerical",0,0,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",104
42,"Private",9,"Handlers-cleaners",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",105
24,"Private",13,"Sales",0,0,40,"Male","Male","White","Other-relative","Never-married","United-States","<=50K",0,"adult.data",106
38,"Private",15,"Prof-specialty",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",107
56,"Self-emp-not-inc",9,"Other-service",0,1887,50,"Male","Male","White","Husband","Married-civ-spouse","Canada",">50K",1,"adult.data",108
28,"Private",10,"Sales",4064,0,25,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",109
36,"Private",9,"Machine-op-inspct",0,0,40,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",110
53,"Private",5,"Handlers-cleaners",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",111
56,"Self-emp-inc",10,"Sales",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",112
49,"Local-gov",11,"Craft-repair",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",113
55,"Private",10,"Sales",0,0,56,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",114
22,"Private",9,"Craft-repair",0,0,41,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",115
21,"Private",10,"Other-service",0,0,40,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",116
40,"Private",13,"Exec-managerial",0,0,60,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",117
30,"Private",13,"Exec-managerial",0,0,40,"Male","Male","Black","Own-child","Never-married","Germany","<=50K",0,"adult.data",118
29,"State-gov",13,"Prof-specialty",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",119
19,"Private",10,"Other-service",0,0,35,"Male","Male","Black","Own-child","Never-married","United-States","<=50K",0,"adult.data",120
47,"Private",13,"Exec-managerial",0,0,40,"Female","Female","White","Wife","Married-civ-spouse","United-States",">50K",1,"adult.data",121
20,"Private",10,"Adm-clerical",0,1719,28,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",122
31,"Private",12,"Adm-clerical",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",123
39,"Private",10,"Craft-repair",0,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",124
28,"Private",12,"Sales",0,0,60,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",125
24,"Private",9,"Other-service",0,1762,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",126
38,"Self-emp-not-inc",9,"Craft-repair",4386,0,35,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",127
37,"Private",13,"Sales",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",128
46,"Private",12,"Tech-support",0,0,36,"Female","Female","Black","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",129
38,"Federal-gov",14,"Prof-specialty",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","Iran",">50K",1,"adult.data",130
43,"Self-emp-not-inc",9,"Craft-repair",0,0,60,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",131
27,"Private",11,"Adm-clerical",0,0,35,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",132
20,"Private",10,"Sales",0,0,20,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",133
49,"Private",10,"Craft-repair",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",134
61,"Self-emp-inc",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",135
27,"Private",10,"Sales",0,0,40,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",136
19,"Private",10,"Other-service",0,0,30,"Male","Male","White","Own-child","Never-married","Mexico","<=50K",0,"adult.data",137
45,"Private",11,"Prof-specialty",0,1564,40,"Female","Female","White","Not-in-family","Never-married","United-States",">50K",1,"adult.data",138
70,"Private",10,"Tech-support",0,0,40,"Male","Male","White","Other-relative","Never-married","United-States","<=50K",0,"adult.data",139
31,"Private",9,"Transport-moving",0,0,30,"Female","Female","Black","Unmarried","Never-married","United-States","<=50K",0,"adult.data",140
22,"Private",10,"Other-service",0,0,24,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",141
36,"Private",9,"Other-service",0,0,24,"Female","Female","White","Unmarried","Widowed","United-States","<=50K",0,"adult.data",142
64,"Private",7,"Craft-repair",0,2179,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",143
47,"Local-gov",10,"Adm-clerical",0,0,38,"Female","Female","White","Unmarried","Divorced","Mexico","<=50K",0,"adult.data",144
34,"Private",9,"Adm-clerical",0,0,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",145
33,"Private",13,"Exec-managerial",0,0,40,"Female","Female","Asian-Pac-Islander","Other-relative","Never-married","Philippines","<=50K",0,"adult.data",146
21,"Private",9,"Craft-repair",0,0,35,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",147
48,"Private",9,"Craft-repair",0,0,46,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",148
23,"Private",13,"Handlers-cleaners",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",149
71,"Self-emp-not-inc",10,"Sales",0,1816,2,"Male","Male","Black","Unmarried","Separated","United-States","<=50K",0,"adult.data",150
29,"Private",9,"Craft-repair",0,0,60,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",151
42,"Private",13,"Other-service",0,0,50,"Male","Male","Black","Other-relative","Separated","United-States","<=50K",0,"adult.data",152
25,"Private",9,"Other-service",0,0,40,"Female","Female","White","Unmarried","Never-married","United-States","<=50K",0,"adult.data",153
44,"Self-emp-inc",14,"Exec-managerial",0,0,40,"Female","Female","Asian-Pac-Islander","Unmarried","Divorced","United-States","<=50K",0,"adult.data",154
28,"Private",9,"Exec-managerial",0,0,40,"Female","Female","Asian-Pac-Islander","Not-in-family","Never-married","England","<=50K",0,"adult.data",155
45,"Self-emp-not-inc",14,"Sales",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",156
36,"Private",10,"Other-service",0,0,40,"Female","Female","White","Unmarried","Divorced","Mexico","<=50K",0,"adult.data",157
39,"Federal-gov",12,"Exec-managerial",0,0,42,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",158
46,"State-gov",14,"Protective-serv",0,0,40,"Male","Male","White","Unmarried","Widowed","United-States","<=50K",0,"adult.data",159
18,"Private",7,"Handlers-cleaners",0,0,16,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",160
66,"Local-gov",11,"Prof-specialty",0,0,20,"Female","Female","White","Not-in-family","Widowed","United-States","<=50K",0,"adult.data",161
27,"Private",9,"Other-service",0,1980,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",162
28,"State-gov",9,"Protective-serv",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",163
51,"Private",10,"Sales",0,1977,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",164
27,"Private",13,"Craft-repair",0,0,50,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",165
28,"State-gov",13,"Prof-specialty",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",166
27,"Private",9,"Sales",0,0,25,"Female","Female","White","Unmarried","Married-spouse-absent","United-States","<=50K",0,"adult.data",167
21,"Private",9,"Craft-repair",0,0,40,"Male","Male","Black","Own-child","Never-married","United-States","<=50K",0,"adult.data",168
34,"Private",9,"Handlers-cleaners",0,0,40,"Male","Male","Black","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",169
18,"Private",9,"Other-service",0,0,12,"Male","Male","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",170
33,"Private",13,"Prof-specialty",0,0,65,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",171
44,"Local-gov",10,"Exec-managerial",0,0,38,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",172
43,"Private",10,"Adm-clerical",0,0,40,"Female","Female","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",173
30,"Private",10,"Craft-repair",0,0,45,"Male","Male","Black","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",174
40,"Private",4,"Machine-op-inspct",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","Mexico",">50K",1,"adult.data",175
37,"Federal-gov",10,"Adm-clerical",0,0,42,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",176
34,"Private",9,"Adm-clerical",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",177
41,"Self-emp-not-inc",13,"Exec-managerial",0,0,40,"Female","Female","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",178
31,"Private",14,"Prof-specialty",0,0,50,"Female","Female","White","Wife","Married-civ-spouse","United-States","<=50K",0,"adult.data",179
58,"State-gov",16,"Prof-specialty",0,0,1,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",180
38,"Private",10,"Machine-op-inspct",0,0,28,"Female","Female","Black","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",181
24,"Private",10,"Machine-op-inspct",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",182
41,"Local-gov",13,"Craft-repair",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",183
47,"Private",10,"Tech-support",0,0,45,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",184
41,"Federal-gov",13,"Tech-support",0,0,24,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",185
23,"Private",3,"Transport-moving",0,0,40,"Male","Male","White","Other-relative","Married-civ-spouse","Mexico","<=50K",0,"adult.data",186
36,"Private",10,"Craft-repair",0,0,40,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",187
40,"Federal-gov",14,"Exec-managerial",14084,0,55,"Female","Female","White","Not-in-family","Never-married","United-States",">50K",1,"adult.data",188
35,"Private",14,"Prof-specialty",7298,0,40,"Male","Male","White","Other-relative","Married-civ-spouse","United-States",">50K",1,"adult.data",189
24,"Self-emp-not-inc",9,"Sales",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",190
26,"Private",14,"Prof-specialty",0,1876,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",191
51,"Private",13,"Exec-managerial",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",192
42,"Local-gov",10,"Prof-specialty",0,1340,40,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",193
37,"State-gov",9,"Adm-clerical",0,0,35,"Female","Female","White","Unmarried","Divorced","United-States","<=50K",0,"adult.data",194
18,"Private",7,"Sales",0,0,40,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",195
36,"Private",13,"Other-service",7298,0,36,"Male","Male","Black","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",196
35,"Private",9,"Craft-repair",0,0,60,"Male","Male","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",197
58,"Self-emp-inc",9,"Sales",15024,0,35,"Female","Female","White","Wife","Married-civ-spouse","United-States",">50K",1,"adult.data",198
17,"Private",7,"Sales",0,0,12,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",199
44,"Local-gov",9,"Transport-moving",0,0,40,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",200
37,"Private",9,"Craft-repair",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",201
35,"Private",10,"Sales",0,0,40,"Female","Female","Amer-Indian-Eskimo","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",202
60,"Private",9,"Craft-repair",0,0,40,"Male","Male","Asian-Pac-Islander","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",203
54,"Self-emp-inc",4,"Machine-op-inspct",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States",">50K",1,"adult.data",204
37,"Private",13,"Exec-managerial",0,0,60,"Male","Male","Black","Not-in-family","Never-married","United-States",">50K",1,"adult.data",205
50,"Private",12,"Sales",0,0,40,"Female","Female","White","Not-in-family","Divorced","United-States","<=50K",0,"adult.data",206
38,"Private",13,"Sales",0,0,50,"Male","Male","White","Husband","Married-civ-spouse","Poland","<=50K",0,"adult.data",207
45,"Private",13,"Prof-specialty",0,0,55,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",208
25,"Private",6,"Craft-repair",0,0,40,"Male","Male","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",209
31,"Private",10,"Handlers-cleaners",0,0,40,"Male","Male","White","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",210
90,"Private",9,"Other-service",0,2206,40,"Male","Male","Black","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",211
54,"Private",9,"Adm-clerical",0,0,20,"Male","Male","Black","Husband","Married-civ-spouse","United-States","<=50K",0,"adult.data",212
53,"Local-gov",1,"Machine-op-inspct",0,0,35,"Female","Female","White","Not-in-family","Never-married","United-States","<=50K",0,"adult.data",213
18,"Private",9,"Sales",0,0,40,"Female","Female","White","Own-child","Never-married","United-States","<=50K",0,"adult.data",214
